APP_ID,CATEGORY,TYPE,STATUS,VERSION,VCODE,LICENSE,SOURCE_URL,REF_SCREENSHOT
com.galaxyrio.sudokusolver,puzzle-game,game,DISCOVERED,,,,,
org.lufebe16.pysolfc,card-game,game,DISCOVERED,,,,,
com.kaeruct.raumballer,shooter-game,game,DISCOVERED,,,,,
com.sanskritbasics.memory,educational-game,game,DISCOVERED,,,,,
com.smorgasbork.hotdeath,card-game,game,DISCOVERED,,,,,
com.serwylo.retrowars,action-game,game,DISCOVERED,,,,,
org.opensurge2d.surgeengine,platformer-game,game,DISCOVERED,,,,,
com.eightsines.firestrike.opensource,shooter-game,game,DISCOVERED,,,,,
com.clavierhaus.gnubg,board-game,game,DISCOVERED,,,,,
com.sidhant.arrowescape,puzzle-game,game,DISCOVERED,,,,,
com.vovagorodok.blidraughts,board-game,game,DISCOVERED,,,,,
com.yepgoryo.EggReturnsHome,platformer-game,game,DISCOVERED,,,,,
com.rocket9labs.boxcars,board-game,game,DISCOVERED,,,,,
io.github.johnathan.minesweeper,puzzle-game,game,DISCOVERED,,,,,
org.piepmeyer.gauguin,puzzle-game,game,DISCOVERED,,,,,
jwtc.android.chess,board-game,game,DISCOVERED,,,,,
org.pipoypipagames.cowsrevenge,platformer-game,game,DISCOVERED,,,,,
org.bobstuff.bobball,action-game,game,DISCOVERED,,,,,
com.vayunmathur.games.alchemist,casual-game,game,DISCOVERED,,,,,
ru.hyst329.openfool,card-game,game,DISCOVERED,,,,,
org.codeberg.scovillo.bubble,action-game,game,DISCOVERED,,,,,
com.towerillusion.abdal,board-game,game,DISCOVERED,,,,,
com.sidhant.blockblast,puzzle-game,game,DISCOVERED,,,,,
org.quentin_bettoum.librememorygame,educational-game,game,DISCOVERED,,,,,
com.fairytrick.fairymahjong,puzzle-game,game,DISCOVERED,,,,,
com.tacticmaster,board-game,game,DISCOVERED,,,,,
com.joeld.minesweeper,puzzle-game,game,DISCOVERED,,,,,
com.adilhanney.ricochlime,shooter-game,game,DISCOVERED,,,,,
com.dozingcatsoftware.cardswithcats,card-game,game,DISCOVERED,,,,,
eu.veldsoft.scribe4,board-game,game,DISCOVERED,,,,,
me.lecaro.breakout,action-game,game,DISCOVERED,,,,,
cube.run,action-game,game,DISCOVERED,,,,,
fr.arnaudguyon.spacevertex,action-game,game,DISCOVERED,,,,,
de.saschahlusiak.freebloks,board-game,game,DISCOVERED,,,,,
org.secuso.privacyfriendlymemory,educational-game,game,DISCOVERED,,,,,
paper.loop,action-game,game,DISCOVERED,,,,,
dev.serwin.AnarchRE,shooter-game,game,DISCOVERED,,,,,
com.dozingcatsoftware.mouse_pounce,card-game,game,DISCOVERED,,,,,
com.sidhant.shikaku,puzzle-game,game,DISCOVERED,,,,,
eve.game.tracker,card-game,game,DISCOVERED,,,,,
com.sanskritbasics,educational-game,game,DISCOVERED,,,,,
eu.veldsoft.vitosha.blackjack,card-game,game,DISCOVERED,,,,,
com.mostafa.brickblast,casual-game,game,DISCOVERED,,,,,
com.fr.laboussole.track,educational-game,game,DISCOVERED,,,,,
eu.mokrzycki.learndigits,educational-game,game,DISCOVERED,,,,,
com.game.asteroids_revenge,action-game,game,DISCOVERED,,,,,
paper.loop2,action-game,game,DISCOVERED,,,,,
org.pgnapps.pk2,platformer-game,game,DISCOVERED,,,,,
org.secuso.privacyfriendlydame,board-game,game,DISCOVERED,,,,,
com.itsfrz.tictactoe,board-game,game,DISCOVERED,,,,,
nodomain.playmaker,platformer-game,game,DISCOVERED,,,,,
com.chenyifaer.fafarunner,action-game,game,DISCOVERED,,,,,
org.secuso.privacyfriendlysolitaire,card-game,game,DISCOVERED,,,,,
com.movietrivia.filmfacts,educational-game,game,DISCOVERED,,,,,
com.attenomy.janken,casual-game,game,DISCOVERED,,,,,
com.sidhant.nonogram,puzzle-game,game,DISCOVERED,,,,,
garden.lina.oblique_strategies,card-game,game,DISCOVERED,,,,,
com.dozingcatsoftware.bouncy,casual-game,game,DISCOVERED,,,,,
com.sidhant.triplematch,puzzle-game,game,DISCOVERED,,,,,
net.sourceforge.solitaire_cg,card-game,game,DISCOVERED,,,,,
eu.veldsoft.tuty.fruty.slot,casual-game,game,DISCOVERED,,,,,
com.hfut.schedule,internet,app,DISCOVERED,,,,,
foehnix.widget,weather,app,DISCOVERED,,,,,
de.seemoo.at_tracking_detection,connectivity,app,DISCOVERED,,,,,
org.nitri.opentopo,navigation,app,DISCOVERED,,,,,
com.newsblur,reading,app,DISCOVERED,,,,,
de.taz.android.app.free,multimedia,app,DISCOVERED,,,,,
com.bupkis.tirailleur,calculator,app,DISCOVERED,,,,,
io.github.aoc_normal,clock,app,DISCOVERED,,,,,
fr.shiningcat.binclockwidget,clock,app,DISCOVERED,,,,,
net.diffengine.romandigitalclock,clock,app,DISCOVERED,,,,,
eu.weblibre.gecko,internet,app,DISCOVERED,,,,,
com.jherkenhoff.qalculate,calculator,app,DISCOVERED,,,,,
site.leos.apps.lespas,gallery,app,DISCOVERED,,,,,
me.river.nightbell,development,app,DISCOVERED,,,,,
com.madlonkay.orgro,development,app,DISCOVERED,,,,,
org.forkgram.classic,internet,app,DISCOVERED,,,,,
com.kompact,multimedia,app,DISCOVERED,,,,,
com.ma.tehro,navigation,app,DISCOVERED,,,,,
net.bible.android.activity,reading,app,DISCOVERED,,,,,
net.osmand.plus,navigation,app,DISCOVERED,,,,,
com.tutpro.baresip.plus,internet,app,DISCOVERED,,,,,
it.fast4x.riplay,multimedia,app,DISCOVERED,,,,,
org.stingle.photos,gallery,app,DISCOVERED,,,,,
com.forrestguice.suntimeswidget,clock,app,DISCOVERED,,,,,
com.vayunmathur.clock,clock,app,DISCOVERED,,,,,
com.luc4n3x.levyra,multimedia,app,DISCOVERED,,,,,
com.firebirdberlin.nightdream.noGms,clock,app,DISCOVERED,,,,,
com.vagujhelyigergely.calculatorm3,calculator,app,DISCOVERED,,,,,
com.hegocre.nextcloudpasswords,security,app,DISCOVERED,,,,,
com.chmouel.liseur,reading,app,DISCOVERED,,,,,
protectedwp.safespace,security,app,DISCOVERED,,,,,
dev.gpxit.app,navigation,app,DISCOVERED,,,,,
com.srkovnar.legacyphotoframe,gallery,app,DISCOVERED,,,,,
com.nfcarchiver.nfc_archiver,connectivity,app,DISCOVERED,,,,,
org.ojrandom.paiesque,connectivity,app,DISCOVERED,,,,,
com.greenart7c3.nostrsigner,security,app,DISCOVERED,,,,,
com.divinelink.scenepeek,multimedia,app,DISCOVERED,,,,,
app.fedilab.castlab,gallery,app,DISCOVERED,,,,,
de.schliweb.makeacopy,multimedia,app,DISCOVERED,,,,,
fr.corenting.convertisseureurofranc,calculator,app,DISCOVERED,,,,,
io.paperterm.app,development,app,DISCOVERED,,,,,
org.ucam.ssb22.pinyinfdroid,reading,app,DISCOVERED,,,,,
com.kolakek.pimiwidget,weather,app,DISCOVERED,,,,,
is.xyz.mpv,multimedia,app,DISCOVERED,,,,,
orinasa.njarasoa.maripanatokana,weather,app,DISCOVERED,,,,,
tibarj.tranquilstopwatch,stopwatch,app,DISCOVERED,,,,,
com.davidtakac.bura,weather,app,DISCOVERED,,,,,
m.co.rh.id.a_news_provider,reading,app,DISCOVERED,,,,,
de.quaddyservices.dynamicnightlight,clock,app,DISCOVERED,,,,,
com.ominous.quickweather,weather,app,DISCOVERED,,,,,
cn.rbc.termuc,development,app,DISCOVERED,,,,,
com.kaii.photos,gallery,app,DISCOVERED,,,,,
com.co3,reading,app,DISCOVERED,,,,,
com.crome.forecastpoint,weather,app,DISCOVERED,,,,,
com.metromusic,multimedia,app,DISCOVERED,,,,,
com.bbzone.isitprime,calculator,app,DISCOVERED,,,,,
com.vsmartcard.acardemulator,development,app,DISCOVERED,,,,,
com.iris.gallery,gallery,app,DISCOVERED,,,,,
com.adeeteya.digital_calculator,calculator,app,DISCOVERED,,,,,
lab.rreedd.oriens,clock,app,DISCOVERED,,,,,
org.godotengine.editor.v4,development,app,DISCOVERED,,,,,
foss.cnugteren.nlweer,weather,app,DISCOVERED,,,,,
com.axiel7.anihyou,reading,app,DISCOVERED,,,,,
joshuatee.wx,weather,app,DISCOVERED,,,,,
net.aliasvault.app,security,app,DISCOVERED,,,,,
uk.org.boddie.android.weatherforecast,weather,app,DISCOVERED,,,,,
de.phasenrauscher.bicyweather,weather,app,DISCOVERED,,,,,
com.fixupxer,internet,app,DISCOVERED,,,,,
com.github.vauvenal5.yaga,gallery,app,DISCOVERED,,,,,
fr.ign.geoportail,navigation,app,DISCOVERED,,,,,
com.kylecorry.trail_sense,navigation,app,DISCOVERED,,,,,
de.kaffeemitkoffein.tinyweatherforecastgermany,weather,app,DISCOVERED,,,,,
dudeofx.eval,calculator,app,DISCOVERED,,,,,
it.rignanese.leo.slimfacebook,internet,app,DISCOVERED,,,,,
org.fossify.gallery,gallery,app,DISCOVERED,,,,,
deckers.thibault.aves.libre,gallery,app,DISCOVERED,,,,,
io.github.lordofpolls.shellwave,development,app,DISCOVERED,,,,,
org.fossify.clock,clock,app,DISCOVERED,,,,,
com.justdeax.composeStopwatch,stopwatch,app,DISCOVERED,,,,,
yetzio.yetcalc,calculator,app,DISCOVERED,,,,,
trailence.org,navigation,app,DISCOVERED,,,,,
com.barghest.mesh,connectivity,app,DISCOVERED,,,,,
dev.otaj.zelp,connectivity,app,DISCOVERED,,,,,
takagi.ru.monica.fdroid,security,app,DISCOVERED,,,,,
org.fossify.math,calculator,app,DISCOVERED,,,,,
com.vicolo.chrono,clock,app,DISCOVERED,,,,,
com.freetime.geoweather,weather,app,DISCOVERED,,,,,
com.foxdebug.acode,development,app,DISCOVERED,,,,,
me.timeto.app,stopwatch,app,DISCOVERED,,,,,
org.sherpr.app,connectivity,app,DISCOVERED,,,,,
org.y20k.transistor,multimedia,app,DISCOVERED,,,,,
org.asafonov.weather,weather,app,DISCOVERED,,,,,
com.agatamessina.webinspector,development,app,DISCOVERED,,,,,
com.fpf.smartscan,gallery,app,DISCOVERED,,,,,
org.billthefarmer.buses,navigation,app,DISCOVERED,,,,,
dev.cipher.notes,security,app,DISCOVERED,,,,,
io.github.x0b.rcx,file-manager,app,DISCOVERED,,,,,
com.google.android.stardroid,navigation,app,DISCOVERED,,,,,
duress.ultimate,security,app,DISCOVERED,,,,,
com.artifex.mupdf.viewer.app,reading,app,DISCOVERED,,,,,
